req_id,req_title,module,test_case,level,technique,status
REQ-07,Alertas,Alert,GetAllAsync_WithNoAlerts_ReturnsEmptyList,Unidade,Classe invalida,Ativo
REQ-07,Alertas,Alert,GetAllAsync_WithMultipleAlerts_ReturnsAll,Unidade,Volume/colecao,Ativo
REQ-07,Alertas,Alert,GetByIdAsync_WithValidId_ReturnsAlert,Unidade,Caminho principal,Ativo
REQ-07,Alertas,Alert,GetByIdAsync_WithInvalidId_ReturnsNull,Unidade,Classe invalida,Ativo
REQ-07,Alertas,Alert,CreateAsync_WithValidData_CreatesAlert,Unidade,Caminho principal,Ativo
REQ-07,Alertas,Alert,CreateAsync_WithNullTitle_ReturnsNull,Unidade,Classe invalida,Ativo
REQ-07,Alertas,Alert,UpdateAsync_WithValidData_UpdatesAlert,Unidade,Caminho principal,Ativo
REQ-07,Alertas,Alert,DeleteAsync_WithValidId_DeletesAlert,Unidade,Caminho principal,Ativo
REQ-07,Alertas,Alert,CreateAsync_WithAllAlertTypes_CreatesWithCorrectType (Informativo),Unidade,Decisao/estado,Ativo
REQ-07,Alertas,Alert,CreateAsync_WithAllAlertTypes_CreatesWithCorrectType (Aviso),Unidade,Decisao/estado,Ativo
REQ-07,Alertas,Alert,CreateAsync_WithAllAlertTypes_CreatesWithCorrectType (Crítico),Unidade,Decisao/estado,Ativo
REQ-07,Alertas,Alert,GetByTypeAsync_WithValidType_ReturnsAlertsOfType,Unidade,Decisao/estado,Ativo
REQ-07,Alertas,Alert,GetByTypeAsync_WithNoAlertsOfType_ReturnsEmptyList,Unidade,Classe invalida,Ativo
REQ-07,Alertas,Alert,GetByTypeAsync_DifferentiatesBetweenTypes,Unidade,Decisao/estado,Ativo
REQ-07,Alertas,Alert,CreateAsync_WithValidStatus_CreatesWithStatus (Ativo),Unidade,Decisao/estado,Ativo
REQ-07,Alertas,Alert,CreateAsync_WithValidStatus_CreatesWithStatus (Resolvido),Unidade,Decisao/estado,Ativo
REQ-07,Alertas,Alert,CreateAsync_WithValidStatus_CreatesWithStatus (Ignorado),Unidade,Decisao/estado,Ativo
REQ-07,Alertas,Alert,GetByStatusAsync_ReturnsAlertsWithStatus,Unidade,Decisao/estado,Ativo
REQ-07,Alertas,Alert,ResolveAsync_WithValidUser_MarksAlertResolved,Unidade,Decisao/estado,Ativo
REQ-07,Alertas,Alert,ResolveAsync_WithNonExistentAlert_ReturnsNull,Unidade,Classe invalida,Ativo
REQ-07,Alertas,Alert,ResolveAsync_WithoutResolution_StillMarksResolved,Unidade,Decisao/estado,Ativo
REQ-07,Alertas,Alert,ResolveAsync_SetResolvedDate_AsCurrentTime,Unidade,Decisao/estado,Ativo
REQ-07,Alertas,Alert,IgnoreAsync_WithValidUser_MarksAlertIgnored,Unidade,Decisao/estado,Ativo
REQ-07,Alertas,Alert,IgnoreAsync_RequiresJustification_Stored,Unidade,Decisao/estado,Ativo
REQ-07,Alertas,Alert,IgnoreAsync_WithNonExistentAlert_ReturnsNull,Unidade,Classe invalida,Ativo
REQ-07,Alertas,Alert,GetByResourceIdAsync_ReturnsAlertsForResource,Unidade,Caminho principal,Ativo
REQ-07,Alertas,Alert,GetByResourceIdAsync_WithNoAlertsForResource_ReturnsEmptyList,Unidade,Classe invalida,Ativo
REQ-07,Alertas,Alert,CreateAlert_WhenTemperatureExceedsMax_GeneratesCriticalAlert,Unidade,Valor limite,Ativo
REQ-07,Alertas,Alert,CreateAlert_WhenHumidityBelowMin_GeneratesWarningAlert,Unidade,Valor limite,Ativo
REQ-07,Alertas,Alert,CreateAlert_WhenLuminosityBelowThreshold_GeneratesInfoAlert,Unidade,Valor limite,Ativo
REQ-07,Alertas,Alert,ResolveAsync_OnAlreadyResolvedAlert_UpdatesResolution,Unidade,Decisao/estado,Ativo
REQ-07,Alertas,Alert,GetByStatusAsync_MultipleFilters,Unidade,Decisao/estado,Ativo
REQ-11,Auditoria,AuditLog,GetAllAsync_WithNoAuditLogs_ReturnsEmptyList,Unidade,Classe invalida,Ativo
REQ-11,Auditoria,AuditLog,GetByIdAsync_WithValidId_ReturnsAuditLog,Unidade,Caminho principal,Ativo
REQ-11,Auditoria,AuditLog,GetByIdAsync_WithInvalidId_ReturnsNull,Unidade,Classe invalida,Ativo
REQ-11,Auditoria,AuditLog,LogOperationAsync_WithValidData_CreatesAuditLog,Unidade,Caminho principal,Ativo
REQ-11,Auditoria,AuditLog,LogOperationAsync_WithOperationType_Stored (Create),Unidade,Decisao/estado,Ativo
REQ-11,Auditoria,AuditLog,LogOperationAsync_WithOperationType_Stored (Update),Unidade,Decisao/estado,Ativo
REQ-11,Auditoria,AuditLog,LogOperationAsync_WithOperationType_Stored (Delete),Unidade,Decisao/estado,Ativo
REQ-11,Auditoria,AuditLog,LogOperationAsync_WithOperationType_Stored (Login),Unidade,Decisao/estado,Ativo
REQ-11,Auditoria,AuditLog,LogOperationAsync_WithOperationType_Stored (Export),Unidade,Decisao/estado,Ativo
REQ-11,Auditoria,AuditLog,GetByOperationTypeAsync_ReturnsLogsOfType,Unidade,Decisao/estado,Ativo
REQ-11,Auditoria,AuditLog,GetByUserIdAsync_ReturnsLogsForUser,Unidade,Caminho principal,Ativo
REQ-11,Auditoria,AuditLog,GetByUserIdAsync_WithMultipleUsers_OnlyReturnsUserLogs,Unidade,Volume/colecao,Ativo
REQ-11,Auditoria,AuditLog,GetByEntityAsync_ReturnsLogsForEntity,Unidade,Caminho principal,Ativo
REQ-11,Auditoria,AuditLog,GetByEntityAsync_WithDifferentEntities_OnlyReturnSpecificEntity,Unidade,Caminho principal,Ativo
REQ-11,Auditoria,AuditLog,GetByDateRangeAsync_ReturnsLogsInRange,Unidade,Valor limite,Ativo
REQ-11,Auditoria,AuditLog,GetByDateRangeAsync_WithNoLogsInRange_ReturnsEmptyList,Unidade,Valor limite,Ativo
REQ-11,Auditoria,AuditLog,LogOperationAsync_WithOldAndNewValues_Stored,Unidade,Caminho principal,Ativo
REQ-11,Auditoria,AuditLog,LogOperationAsync_UpdateWithoutOldValues_OnlyNewValuesSet,Unidade,Caminho principal,Ativo
REQ-11,Auditoria,AuditLog,LogOperationAsync_WithIpAddress_Stored (127.0.0.1),Unidade,Caminho principal,Ativo
REQ-11,Auditoria,AuditLog,LogOperationAsync_WithIpAddress_Stored (192.168.1.100),Unidade,Caminho principal,Ativo
REQ-11,Auditoria,AuditLog,LogOperationAsync_WithIpAddress_Stored (10.0.0.1),Unidade,Caminho principal,Ativo
REQ-11,Auditoria,AuditLog,LogOperationAsync_WithIpAddress_Stored (::1),Unidade,Caminho principal,Ativo
REQ-11,Auditoria,AuditLog,DeleteOldLogsAsync_RemovesLogsBeforeDate,Unidade,Caminho principal,Ignorado
REQ-11,Auditoria,AuditLog,DeleteOldLogsAsync_WithNoOldLogs_DoesNotDelete,Unidade,Caminho principal,Ativo
REQ-11,Auditoria,AuditLog,GetAllAsync_WithLargeAuditLogCount,Unidade,Volume/colecao,Ativo
REQ-11,Auditoria,AuditLog,LogOperationAsync_WithMultipleOperations_AllStored,Unidade,Volume/colecao,Ativo
REQ-11,Auditoria,AuditLog,GetByOperationTypeAsync_CompleteAuditTrail,Unidade,Decisao/estado,Ativo
REQ-01,Autenticacao e autorizacao,Auth,AuthenticateAsync_WithValidCredentials_ReturnsAuthResponse,Unidade,Caminho principal,Ativo
REQ-01,Autenticacao e autorizacao,Auth,AuthenticateAsync_WithWrongPassword_ReturnsNull,Unidade,Classe invalida,Ativo
REQ-01,Autenticacao e autorizacao,Auth,AuthenticateAsync_WithNonExistentUser_ReturnsNull,Unidade,Classe invalida,Ativo
REQ-01,Autenticacao e autorizacao,Auth,AuthenticateAsync_WithInactiveUser_ReturnsNull,Unidade,Classe invalida,Ativo
REQ-01,Autenticacao e autorizacao,Auth,AuthenticateAsync_WithEmptyUsername_ReturnsNull,Unidade,Classe invalida,Ativo
REQ-01,Autenticacao e autorizacao,Auth,AuthenticateAsync_WithEmptyPassword_ReturnsNull,Unidade,Classe invalida,Ativo
REQ-01,Autenticacao e autorizacao,Auth,RegisterAsync_WithValidData_ReturnsUser,Unidade,Caminho principal,Ativo
REQ-01,Autenticacao e autorizacao,Auth,RegisterAsync_WithDuplicateUsername_ReturnsNull,Unidade,Classe invalida,Ativo
REQ-01,Autenticacao e autorizacao,Auth,RegisterAsync_WithEmptyUsername_ReturnsNull,Unidade,Classe invalida,Ativo
REQ-01,Autenticacao e autorizacao,Auth,RegisterAsync_WithEmptyEmail_ReturnsNull,Unidade,Classe invalida,Ativo
REQ-01,Autenticacao e autorizacao,Auth,RegisterAsync_WithShortPassword_ReturnsNull,Unidade,Classe invalida,Ativo
REQ-01,Autenticacao e autorizacao,Auth,RegisterAsync_WithInvalidEmail_ReturnsNull,Unidade,Classe invalida,Ativo
REQ-01,Autenticacao e autorizacao,Auth,RegisterAsync_WithAllRoles_CreatesUserWithCorrectRole (UserRole.Tecnico),Unidade,Decisao/estado,Ativo
REQ-01,Autenticacao e autorizacao,Auth,RegisterAsync_WithAllRoles_CreatesUserWithCorrectRole (UserRole.Responsavel),Unidade,Decisao/estado,Ativo
REQ-01,Autenticacao e autorizacao,Auth,RegisterAsync_WithAllRoles_CreatesUserWithCorrectRole (UserRole.Administrador),Unidade,Valor limite,Ativo
REQ-01,Autenticacao e autorizacao,Auth,AuthenticateAsync_TechnicoRole_ReturnsTokenWithCorrectRole,Unidade,Decisao/estado,Ativo
REQ-01,Autenticacao e autorizacao,Auth,AuthenticateAsync_ResponsavelRole_ReturnsTokenWithCorrectRole,Unidade,Decisao/estado,Ativo
REQ-01,Autenticacao e autorizacao,Auth,AuthenticateAsync_AdministradorRole_ReturnsTokenWithCorrectRole,Unidade,Valor limite,Ativo
REQ-01,Autenticacao e autorizacao,Auth,"ValidatePasswordLength_UsesBoundaries (12345678, true)",Unidade,Valor limite,Ativo
REQ-01,Autenticacao e autorizacao,Auth,"ValidatePasswordLength_UsesBoundaries (123456789, true)",Unidade,Valor limite,Ativo
REQ-01,Autenticacao e autorizacao,Auth,"ValidatePasswordLength_UsesBoundaries (password123, true)",Unidade,Valor limite,Ativo
REQ-01,Autenticacao e autorizacao,Auth,"ValidatePasswordLength_UsesBoundaries (1234567, false)",Unidade,Valor limite,Ativo
REQ-01,Autenticacao e autorizacao,Auth,"ValidatePasswordLength_UsesBoundaries (, false)",Unidade,Valor limite,Ativo
REQ-01,Autenticacao e autorizacao,Auth,"ValidatePasswordLength_UsesBoundaries (abc, false)",Unidade,Valor limite,Ativo
REQ-01,Autenticacao e autorizacao,Auth,ValidatePasswordLength_WithNullPassword_ReturnsFalse,Unidade,Valor limite,Ativo
REQ-01,Autenticacao e autorizacao,Auth,"ValidateEmailFormat_ValidatesPattern (user@example.com, true)",Unidade,Caminho principal,Ativo
REQ-01,Autenticacao e autorizacao,Auth,"ValidateEmailFormat_ValidatesPattern (test.user@domain.co.uk, true)",Unidade,Caminho principal,Ativo
REQ-01,Autenticacao e autorizacao,Auth,"ValidateEmailFormat_ValidatesPattern (user+tag@example.com, true)",Unidade,Caminho principal,Ativo
REQ-01,Autenticacao e autorizacao,Auth,"ValidateEmailFormat_ValidatesPattern (userexample.com, false)",Unidade,Classe invalida,Ativo
REQ-01,Autenticacao e autorizacao,Auth,"ValidateEmailFormat_ValidatesPattern (user@, false)",Unidade,Classe invalida,Ativo
REQ-01,Autenticacao e autorizacao,Auth,"ValidateEmailFormat_ValidatesPattern (@example.com, false)",Unidade,Classe invalida,Ativo
REQ-01,Autenticacao e autorizacao,Auth,"ValidateEmailFormat_ValidatesPattern (user@.com, false)",Unidade,Classe invalida,Ativo
REQ-01,Autenticacao e autorizacao,Auth,"ValidateEmailFormat_ValidatesPattern (, false)",Unidade,Classe invalida,Ativo
REQ-01,Autenticacao e autorizacao,Auth,ValidateEmailFormat_WithNullEmail_ReturnsFalse,Unidade,Classe invalida,Ativo
REQ-01,Autenticacao e autorizacao,Auth,ValidateToken_WithInvalidToken_ReturnsFalse,Unidade,Classe invalida,Ativo
REQ-01,Autenticacao e autorizacao,Auth,ValidateToken_WithEmptyToken_ReturnsFalse,Unidade,Classe invalida,Ativo
REQ-01,Autenticacao e autorizacao,Auth,ValidateToken_WithNullToken_ReturnsFalse,Unidade,Classe invalida,Ativo
REQ-01,Autenticacao e autorizacao,Auth,ValidateToken_WithValidTokenFromAuth_ReturnsTrue,Unidade,Caminho principal,Ativo
REQ-01,Autenticacao e autorizacao,Auth,ValidateToken_WithMalformedToken_ReturnsFalse,Unidade,Classe invalida,Ativo
REQ-01,Autenticacao e autorizacao,Auth,RenewTokenAsync_WithValidToken_ReturnsNewToken,Unidade,Caminho principal,Ativo
REQ-01,Autenticacao e autorizacao,Auth,RenewTokenAsync_WithInvalidToken_ReturnsNull,Unidade,Classe invalida,Ativo
